symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,peak-rpm,city-mpg,highway-mpg,aspiration=std,aspiration=turbo,"horsepower=horsepower (116, 288]","horsepower=horsepower (70, 95]","horsepower=horsepower (95, 116]","horsepower=horsepower [48, 70]","price=(10295, 16500]","price=(16500, 45400]","price=(7788, 10295]","price=[5118, 7788]",body-style=convertible,body-style=hardtop,body-style=hatchback,body-style=sedan,body-style=wagon,drive-wheels=4wd,drive-wheels=fwd,drive-wheels=rwd,engine-location=front,engine-location=rear,engine-type=dohc,engine-type=dohcv,engine-type=l,engine-type=ohc,engine-type=ohcf,engine-type=ohcv,engine-type=rotor,fuel-system=1bbl,fuel-system=2bbl,fuel-system=4bbl,fuel-system=idi,fuel-system=mfi,fuel-system=mpfi,fuel-system=spdi,fuel-system=spfi,fuel-type=diesel,fuel-type=gas,num-of-cylinders=eight,num-of-cylinders=five,num-of-cylinders=four,num-of-cylinders=six,num-of-cylinders=three,num-of-cylinders=twelve,num-of-cylinders=two,num-of-doors
3,115.0,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9.0,5000.0,21,27,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3,115.0,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9.0,5000.0,21,27,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,115.0,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,9.0,5000.0,19,26,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,164.0,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10.0,5500.0,24,30,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,164.0,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8.0,5500.0,18,22,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,115.0,99.8,177.3,66.3,53.1,2507,136,3.19,3.4,8.5,5500.0,19,25,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,158.0,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,5500.0,19,25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,115.0,105.8,192.7,71.4,55.7,2954,136,3.19,3.4,8.5,5500.0,19,25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,158.0,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,8.3,5500.0,17,20,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,115.0,99.5,178.2,67.9,52.0,3053,131,3.13,3.4,7.0,5500.0,16,22,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
