symboling,normalized-losses,fuel-type,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,peak-rpm,city-mpg,highway-mpg,aspiration=std,aspiration=turbo,"horsepower=horsepower (116, 288]","horsepower=horsepower (70, 95]","horsepower=horsepower (95, 116]","horsepower=horsepower [48, 70]","price=(10295, 16500]","price=(16500, 45400]","price=(7788, 10295]","price=[5118, 7788]"
3,115.0,1,1,0,2,0,88.6,168.8,64.1,48.8,2548,0,2,130,5,3.47,2.68,9.0,5000.0,21,27,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,115.0,1,1,0,2,0,88.6,168.8,64.1,48.8,2548,0,2,130,5,3.47,2.68,9.0,5000.0,21,27,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,115.0,1,1,2,2,0,94.5,171.2,65.5,52.4,2823,5,3,152,5,2.68,3.47,9.0,5000.0,19,26,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,164.0,1,0,3,1,0,99.8,176.6,66.2,54.3,2337,3,2,109,5,3.19,3.4,10.0,5500.0,24,30,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2,164.0,1,0,3,0,0,99.4,176.6,66.4,54.3,2824,3,1,136,5,3.19,3.4,8.0,5500.0,18,22,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,115.0,1,1,3,1,0,99.8,177.3,66.3,53.1,2507,3,1,136,5,3.19,3.4,8.5,5500.0,19,25,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,158.0,1,0,3,1,0,105.8,192.7,71.4,55.7,2844,3,1,136,5,3.19,3.4,8.5,5500.0,19,25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,115.0,1,0,4,1,0,105.8,192.7,71.4,55.7,2954,3,1,136,5,3.19,3.4,8.5,5500.0,19,25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,158.0,1,0,3,1,0,105.8,192.7,71.4,55.9,3086,3,1,131,5,3.13,3.4,8.3,5500.0,17,20,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,115.0,1,1,2,0,0,99.5,178.2,67.9,52.0,3053,3,1,131,5,3.13,3.4,7.0,5500.0,16,22,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,192.0,1,1,3,2,0,101.2,176.8,64.8,54.3,2395,3,2,108,5,3.5,2.8,8.8,5800.0,23,29,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,192.0,1,0,3,2,0,101.2,176.8,64.8,54.3,2395,3,2,108,5,3.5,2.8,8.8,5800.0,23,29,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
